,STORESpollen,STOREShoney,STORESnectar,BroodCells,BEESadult,WEIGHTcolony
101,810.1296225342871,44191.63652384034,595.786898102081,7643.109453903227,6774.285599765247,46.995847166261576
102,797.6266375326345,44158.072237699904,109.68434142410786,7713.848165570826,6822.294442279952,46.76326590706655
103,888.7761645979109,43917.26299822577,206.69349227891155,7812.5731946569995,6982.769777672132,46.73433210137258
104,905.1305478595841,43718.55204413833,147.92516095225932,8027.277377118982,7164.821870463349,46.650720338841715
105,1255.9022900897044,43481.49217606302,22.75891395350004,8302.109569153614,7382.846630150096,46.611470785593305
106,1256.922928182643,43172.68319818078,630.3433384880605,8712.884476747979,7588.300268801785,46.7591210718494
107,1197.531699341188,43095.81778117444,136.48736618492728,9118.522827233222,7800.363987027498,46.54864906431064
108,1309.2118823503401,42801.7086926808,300.19645772648676,9372.105295296122,8009.514090810294,46.556576484727685
109,1227.3949605357063,42571.6416359569,116.86566454728279,9825.646438917367,8143.094704458336,46.41554532433132
110,981.9989463205102,42264.578038782936,19.19683299617614,10261.755261452052,8281.969195626,46.24501864734101
111,701.5936956582945,41917.1422241731,0.0,10627.793431599985,8398.491721866958,46.08180905418712
112,438.15304669092933,41564.140146254416,0.0,10960.089074685522,8482.875746616333,45.926970324555285
113,628.2188369345517,41223.735387612396,0.0,11151.239802886648,8544.85486546187,45.871840804282144
114,1491.0355481734287,40857.45983533322,71.83891147057574,11401.133782216104,8584.089150198737,45.947652415459295
115,1304.9452717702632,40507.920149352474,307.9344492477978,12047.953580643625,8763.692548156743,45.85246047361622
116,1269.5453961100297,40218.34445644917,255.70803009544164,12235.457430903341,9089.001041248568,45.70086506057554
117,998.12657011039,39909.842869852844,30.062821025598055,12185.93601318985,9455.195860890271,45.42038851839111
118,735.7758816410987,39515.56941658657,11.789065509012573,12179.15207943081,9805.902513939978,45.21064327874219
119,1511.1269383788472,39109.90263661901,9.093789300965845,12107.84813778957,10168.802395018358,45.24353196616224
120,1407.8271272381844,38706.2798419863,375.90893821238086,12474.390649958706,10485.102247832681,45.21593831210551
121,1302.0667928547418,38422.28421980077,305.4289851118396,12764.029798809235,10934.149605913815,45.06427584326867
122,1737.744429726367,38090.56135238472,496.85494685915086,12610.091394884716,11393.604278608167,45.107522164904
123,1817.8915788981662,37829.421504034,475.01392345060634,12823.227115275477,11799.91751874033,45.030478012510784
124,1987.0511677663333,37554.154274597975,0.0,13156.686884493556,12211.633032519645,44.78888238558255
125,2050.44747168546,37077.57361098209,0.0,13456.229935710277,12627.964270026534,44.633351802902126
126,2077.1608410731055,36579.24947061925,0.0,13939.980345649506,12994.948226873561,44.48450486475171
127,2117.0087904545953,36062.720253412874,0.0,14390.19735223511,13271.390648104723,44.335287333729454
128,2360.241068709305,35510.73596985332,863.627258866338,14860.11858423239,13456.398892066942,44.577492713404
129,2188.211710261108,35310.22125171477,725.9942905125777,15323.393064189171,13590.260545815227,44.44309692721503
130,1738.284712457152,35065.544693401534,0.0,15584.905346187035,13970.428256093703,43.97547195910977
131,1305.109403213334,34534.98421415116,0.0,15519.666854553445,14490.67386605779,43.69722110556025
132,899.783602850744,34024.99813054975,0.0,15467.599466652096,15009.717946043904,43.450225929641455
133,534.321345074042,33531.679574893824,0.0,15587.746460097544,15406.791303540644,43.218125152698484
134,215.3179624933743,33060.89286292104,1.0094521176292532,15402.831285244796,15737.73234329739,42.95602696002777
135,77.38677184155046,32608.70424868622,5.484156640538104,15094.37228148756,16217.549892233448,42.73841531060466
136,607.1645291749198,32166.677083703762,70.94145345761694,14735.853955103457,16719.998496893288,42.684978195624026
137,1154.3206521528582,31734.639236920375,668.422295902116,14532.024694248232,17188.226228746942,42.83960437620351
138,1539.7241296460888,31516.159601194573,1159.563834778083,14621.344341230466,17666.035678656306,43.010741402160974
139,1840.4681134808604,31456.78006808169,1830.0131711676188,14544.205995107419,18135.246748679157,43.30410641713758
140,2078.0508895896864,31689.590631474093,0.0,14333.948032253593,18623.17673497109,42.66317615872063
141,2163.7603316413415,31107.90829444021,2974.2101752316794,14322.365962450072,19274.33812576025,43.69327299527688
142,2406.410659061007,31738.690626210926,1492.375372368946,14211.163193983331,19707.607733986602,43.444288015426935
143,2000.6079896172491,31809.898284735486,375.5189585570063,14244.187547043297,20211.995788223983,42.947796722101316
144,2131.5661235361995,31407.57563086548,721.567946854281,14196.379911804264,20870.559453893577,42.99306786137442
145,2237.8864202155787,31136.87732064013,1566.921398173423,14194.386955526603,21464.855124400045,43.31899789942567
146,2464.0042559632357,31206.376425096387,482.3552281538243,14600.033140780955,21872.69430888923,43.0325582169289
147,2464.799264676481,30780.257131048784,2020.001045671209,15147.047271082916,22180.32716569833,43.57375309776761
148,2509.753121694138,31013.216807449015,0.0,15670.672975320376,22235.646853043607,42.91205398176641
149,2764.182760455068,30417.220002939288,0.0,16340.384001654598,22371.02597328268,42.781736172892785
150,2715.738693519596,29804.24054341341,0.0,17099.00649642681,22436.86184847186,42.57920258293012
151,2593.951109323033,29172.614900778088,0.0,17738.91459720292,22458.40290822456,42.3366684505474
152,2536.054262093224,28513.721628322608,639.2952944898033,18134.714376217464,22558.616401599178,42.35306212612476
153,2729.1317761384125,28053.070682199752,2252.8633784952185,18337.634579327358,22768.64611945926,42.92807938334251
154,2513.0479309906755,28283.33015210178,949.4750249156659,18562.70434059151,22957.25277224283,42.47935064958962
155,2015.697215948324,28024.527504000795,118.145333041208,18567.343658768972,23417.93777743467,41.93917943474553
156,1930.305655314985,27418.945860320357,832.6438386638819,18336.786328619608,24038.40861348651,41.992016963374695
157,2367.548799573626,27102.216095123033,897.5405391423816,18107.086890705938,24596.23452296649,42.012249999524684
158,1865.8741185664762,26860.68788818501,0.0,18201.42280608898,25161.599509319836,41.45377518952361
159,1658.7621533312558,26238.892150922045,583.5775922229311,18090.77698383215,25769.73253940972,41.403930563259685
160,1410.8668984068356,25869.30648241774,365.69680169710637,17711.91932703076,26321.815919202738,41.096505997823755
161,1783.7439857729178,25402.873259268563,869.3855169727476,17386.6116331862,26917.75137677093,41.20036130374454
162,1509.7109175820478,25172.469806873032,521.2531213759157,17210.721850155467,27461.028321049693,40.88977489991143
163,2139.969343120125,24766.15213819847,1561.2360087265633,16839.436852285024,28099.174713120072,41.297026950085204
164,2279.3372305676444,24776.039719444423,1904.9918888724515,16725.350804483023,28624.590732479817,41.475152172911834
165,2329.425662325276,24901.441803076206,2704.4517840968874,16638.89490185499,29143.88014075507,41.89792650731759
166,2388.6140142098925,25324.99420472555,2788.7901243736696,16458.251118464854,29644.859683325867,42.16269260163136
167,2261.413683129383,25801.505416153872,1860.6761362795905,16313.053984395028,30039.22127215095,41.98739091007907
168,2187.5136249114166,25921.381504288656,1531.0003334486164,16041.194367421951,30491.354801378147,41.90762202624597
169,2142.693525514175,25907.786329618033,1678.5024535559432,15932.311742047179,30989.57252714965,41.99551990646284
170,2551.5988833168744,25923.88930313699,2463.0018961048618,15885.991787848758,31421.870236564842,42.48360551271776
171,2712.0556680521295,26237.78352188174,3342.8835702799774,16144.576931631738,31643.899176292776,43.08888784790222
172,2627.5851961754115,26970.977857676575,0.0,16338.791638730367,31773.663571088855,42.017317562082376
173,2721.5595333744855,26248.60480504652,4416.589794718569,16322.440825320547,32199.809787648654,43.627591715860156
174,2752.204511850443,27397.973345469625,0.0,16477.81813145959,32264.456522942077,42.35104637624151
175,2855.329976194943,26774.60217340339,0.0,16794.53301689967,32544.55358640484,42.13699112494039
176,1957.3579354336036,26201.745581037623,-1451.981436142064,17084.599482230606,32808.643578727875,41.09273311379461
177,3141.58045471153,24298.947478793263,5316.175287452827,16940.606336210934,33272.770390056554,43.417258227410514
178,3046.8551576444697,25711.20828440535,4609.487096452721,17240.39319071969,33209.82058256923,43.80904612941104
179,3016.0641482902956,26807.629809969487,5105.124694943265,17602.07369133007,33253.802879654395,44.595872479151765
180,2715.4357280102226,28150.463115430408,2540.670260304861,17513.635258877624,33334.78141965776,44.09066486583419
181,3029.9939605402046,28486.290333317953,966.578160441899,17380.7731383031,33639.48139679236,43.697222150930145
182,2823.851327660974,28142.07341172752,3099.7386069526365,17407.31254420985,34005.684846491575,44.44195306198253
183,2485.631534055993,28710.75127330199,1629.3173402288196,17546.981942836635,34163.92572054828,44.06636506606948
184,2662.6243926962184,28647.891761526957,3523.6798773645814,17471.956577287994,34464.73195231598,44.935444068141365
185,3155.9871870037846,29344.19199518815,3423.321931773456,17405.89801886426,34619.477862908956,45.369774559524025
186,3002.9939188253593,30025.94887543853,2187.2092453186237,17447.67081471199,34836.829266891786,45.15670133468308
187,2771.471279948637,30168.101575995515,4173.723624564302,17453.867954584333,35167.2465759151,46.05014663908989
